metric,old_value,new_value,absolute_change,percent_change,direction
precision@1,0.3229571984435798,0.4756335282651072,0.1526763298215274,47.274478029075354,improved
avg_pos_distance,0.5099743008613586,0.0530113130807876,0.45696298778057104,89.60510108229958,improved
precision@5,0.1303501945525295,0.2155945419103324,0.0852443473578029,65.39640976404564,improved
recall@1,0.3229571984435798,0.4756335282651072,0.1526763298215274,47.274478029075354,improved
recall@5,0.1380998702983142,0.2155945419103324,0.0774946716120182,56.114948873318525,improved
pos_neg_ratio,0.6851599216461182,0.0620073266327381,0.62315259501338,90.94994837354707,improved
avg_neg_distance,0.7443142533302307,0.8549201488494873,0.11060589551925659,14.860107142162162,improved
